idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
422711,1000083692,460,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,HB,M5153CLT,Drill dowel holes,,3,,,,,1.00008E+12,,,,1,,,,,,,,,
422710,1000083692,450,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,HB,M5153CLT,Machining spyder bores,,8,,,,,1.00008E+12,,,,1,,,,,,,,,
422709,1000083692,440,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,HB,M5153CLT,Seting before machining,,2,,,,,1.00008E+12,,,,1,,,,,,,,,
422708,1000083692,430,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Machining OD bearing seat,,2,,,,,1.00008E+12,,,,1,,,,,,,,,
422707,1000083692,420,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Seting before machining,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422706,1000083692,410,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,ASY,M5153ASY,Assembly flange and plain half differential,,1,,,,,1.00008E+12,,,,1,,,,,,,,,
422705,1000083692,400,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Machining thrust washer face,,2,,,,,1.00008E+12,,,,1,,,,,,,,,
422695,1000083692,180,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,BLS,M5153BLS,Masking,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422703,1000083692,260,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MTS,M5153MTS,Metal spray thrust washer face,,1.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422691,1000083692,110,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Seting before striping,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422690,1000083692,100,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Striping OD bearing seat,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422689,1000083692,90,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Seting before striping,,0.5,,,,,1.00008E+11,,,,1,,,,,,,,,
422688,1000083692,80,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,QC2,M5153QC2,Inspection,,1,,,,,1.00008E+11,,,,1,,,,,,,,,
422687,1000083692,70,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Machining end face contact area,,4,,,,,1.00008E+11,,,,1,,,,,,,,,
422686,1000083692,60,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,WM3,M5153WM3,Pinning / Grinding,,2,,,,,1.00008E+11,,,,1,,,,,,,,,
422685,1000083692,50,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,WM3,M5153WM3,Weld worn out area,,4,,,,,1.00008E+11,,,,1,,,,,,,,,
422684,1000083692,40,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,WM3,M5153WM3,Pre heat,,2,,,,,1.00008E+11,,,,1,,,,,,,,,
422683,1000083692,30,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,WM3,M5153WM3,Cleaning ,,2,,,,,1.00008E+11,,,,1,,,,,,,,,
